gene_id	041017C1d150S1	041017E1d150S2	041917E1d14S1	041917F1d14S2
C330013E15Rik	35	7	10	2
C330013F16Rik	61	111	70	116
C330018D20Rik	0	45	0	0
C330021F23Rik	66	49	41	49
C330022C24Rik	3	2	1	1
C330024C12Rik	0	0	0	0
C330024D21Rik	0	0	0	0
C330027C09Rik	0	165	824	821
C330046G13Rik	0	0	0	0
C3ar1	0	2	0	0
C430002E04Rik	0	0	0	0
C430002N11Rik	0	0	0	0
C430049B03Rik	0	0	0	0
C4a	0	0	0	0
C4b	2176	2075	2161	2752
C4bp	0	0	0	0
C4bp-ps1	0	0	2	4
C530005A16Rik	0	0	0	0
C530008M17Rik	0	0	0	0
C530044C16Rik	0	0	0	0
C5ar1	0	0	0	0
C5ar2	0	0	0	0
C6	0	0	0	0
C630028M04Rik	0	0	0	0
C630031E19Rik	1	1	0	0
C630043F03Rik	0	0	0	0
C7	57	82	34	0
C730002L08Rik	0	0	0	1
C730027H18Rik	0	0	0	0
C730036E19Rik	0	0	0	0
C77080	21064	18375	32735	23533
C77370	0	0	0	0
C78339	0	0	0	0
C86187	0	0	0	0
C86695	0	0	0	0
C87198	6565	5228	4428	3953
C87414	53	52	82	57
C87436	0	0	0	0
C87499	0	44	2	6
C87977	0	0	0	0
C8a	0	0	0	0
C8b	0	0	0	0
C8g	0	0	0	0
C9	1	0	5	12
C920006O11Rik	0	0	0	0
C920009B18Rik	0	0	0	0
C920021L13Rik	0	0	0	0
C920025E04Rik	214	362	138	225
Caap1	1	0	0	0
Cab39	0	0	0	0
Cab39l	0	0	0	0
Cabin1	40	1	0	9
Cables1	0	0	1	5
Cables2	0	0	0	0
Cabp1	6	0	17	10
Cabp2	0	0	0	0
Cabp4	0	1	14	14
Cabp5	0	0	0	0
Cabp7	0	0	0	0
Cabs1	0	0	0	0
Cabyr	0	1	0	2
Cacfd1	0	0	0	0
Cachd1	0	36	8	9
Cacna1a	52	109	147	161
Cacna1b	141	71	33	84
Cacna1c	2	0	0	0
Cacna1d	0	0	0	0
Cacna1e	3	30	9	44
Cacna1f	2	1	2	2
Cacna1g	17	43	12	14
Cacna1h	873	783	695	640
Cacna1i	282	162	59	124
Cacna1s	0	0	2	0
Cacna2d1	0	0	0	0
Cacna2d2	2986	3073	3673	3511
Cacna2d3	0	0	0	0
Cacna2d4	93	63	92	101
Cacnb1	110	85	166	70
Cacnb2	9	19	10	4
Cacnb3	1973	2322	1858	1719
Cacnb4	1	2	0	0
Cacng1	0	0	0	0
Cacng2	408	534	544	485
Cacng3	1	0	0	0
Cacng4	0	0	0	0
Cacng5	32	30	68	34
Cacng6	0	0	0	0
Cacng7	0	0	0	0
Cacng8	0	1	0	2
Cactin	0	1	0	0
Cacul1	0	0	0	1
Cacybp	0	0	0	0
Cad	0	1	0	1
Cadm1	0	0	0	0
Cadm2	0	1	0	0
Cadm3	735	451	271	118
Cadm4	0	0	0	0
Cadps	2	0	0	0
Cadps2	0	0	0	0
Cage1	52	16	2	0
Calb1	463	584	867	300
Calb2	0	0	0	0
Calca	0	0	0	0
Calcb	0	0	0	0
Calcoco1	0	0	0	0
Calcoco2	0	0	0	0
Calcr	0	0	0	0
Calcrl	35	97	25	27
Cald1	29	0	0	0
Calhm1	19	61	10	22
Calhm2	0	0	0	0
Calm1	27	0	3	4
Calm2	466	543	911	764
Calm3	363	281	387	335
Calm4	0	0	0	0
Calm5	0	0	0	0
Calml3	0	0	0	0
Calml4	0	0	0	0
Caln1	3	0	0	0
Calr	0	1	0	0
Calr3	338	241	199	132
Calr4	0	0	0	0
Calu	0	0	0	0
Caly	135	102	182	122
Camk1	1667	1699	2141	2601
Camk1d	5	3	19	17
Camk1g	0	0	84	73
Camk2a	1427	663	528	4589
Camk2b	0	0	13	0
Camk2d	0	0	0	0
Camk2g	32	0	27	19
Camk2n1	13	16	15	15
Camk2n2	1	0	6	15
Camk4	114	110	37	57
Camkk1	58	88	61	51
Camkk2	84	102	39	25
Camkmt	221	254	157	97
Camkv	1683	2016	724	258
Caml	448	449	393	463
Camp	0	0	0	5
Camsap1	8	0	1	0
Camsap2	672	731	574	675
Camsap3	0	0	1	0
Camta1	3	0	0	6
Camta2	9	17	7	20
Cand1	0	0	0	0
Cand2	268	41	219	116
Cant1	0	0	0	0
Canx	0	0	0	0
Cap1	0	0	0	0
Cap2	0	0	0	0
Capg	562	417	541	212
Capn1	625	618	655	393
Capn10	0	0	0	0
Capn11	24	0	4	1
Capn12	0	0	0	0
Capn13	36	0	0	1
Capn15	530	636	308	245
Capn2	67	83	95	46
Capn3	0	0	1	0
Capn5	0	0	1	0
Capn6	0	0	0	0
Capn7	200	198	224	121
Capn8	30	33	59	67
Capn9	0	0	0	0
Capns1	0	0	0	0
Capns2	0	0	0	0
Caprin1	0	0	0	0
Caprin2	21	66	39	27
Caps2	0	0	0	0
Capsl	6237	6118	1852	1124
Capza1	0	0	0	0
Capza2	0	0	0	0
Capza3	0	0	0	0
Capzb	17	41	17	4
Car1	0	0	0	12
Car10	0	0	0	0
Car11	0	0	0	0
Car12	202	278	191	162
Car13	0	0	0	67
Car14	0	0	0	0
Car15	0	23	2	9
Car2	2	0	0	512
Car3	0	0	0	0
Car4	1	1	0	11
Car5a	0	0	1	0
Car5b	0	0	0	0
Car6	0	0	0	0
Car7	0	0	0	0
Car8	0	0	0	0
Car9	322	346	341	402
Card10	0	7	0	6
Card11	1059	1110	1014	604
Card14	109	83	37	40
Card6	0	0	15	23
Card9	3	4	1	3
Carf	615	932	907	969
Carhsp1	389	705	787	802
Carkd	598	844	760	1137
Carm1	9	53	9	1
Carns1	332	363	138	114
Cars	0	0	0	0
Cars2	577	1160	640	712
Cartpt	0	0	0	0
Casc1	31	56	80	74
Casc3	208	279	165	64
Casc4	471	290	298	332
Casc5	0	0	0	0
Casd1	0	0	0	0
Cask	0	0	1	0
Caskin1	10	0	0	1
Caskin2	31	17	34	20
Casp1	6747	6126	9870	6223
Casp12	0	0	0	0
Casp14	0	0	0	0
Casp2	0	0	0	3
Casp3	0	0	0	0
Casp4	1238	795	3210	2023
Casp6	0	0	0	0
Casp7	0	0	0	0
Casp8	8	0	3	27
Casp8ap2	9	26	2	1
Casp9	0	0	0	0
Casq1	0	23	11	18
Casq2	0	0	0	0
Casr	0	0	0	0
Cass4	0	0	0	0
Cast	797	60	174	127
Casz1	10	14	69	122
Cat	6	14	11	20
Catip	0	0	0	4
Catsper1	0	0	0	0
Catsper2	0	0	1	0
Catsper3	324	202	142	204
Catsper4	0	0	0	1
Catsperb	55	20	13	0
Catsperd	0	0	0	0
Catsperg1	469	453	382	258
Catsperg2	561	451	417	105
Cav1	0	0	0	0
Cav2	0	0	0	0
Cav3	0	0	0	0
Cbfa2t2	39	25	21	5
Cbfa2t3	31	289	74	55
Cbfb	0	0	1	0
Cbl	337	360	347	447
Cblb	1008	768	628	484
Cblc	0	0	0	0
Cbll1	0	0	0	0
Cbln1	22	6	1	0
Cbln2	0	0	0	0
Cbln3	0	0	0	0
Cbln4	0	0	0	0
Cbr1	665	694	621	959
Cbr2	0	0	0	0
Cbr3	0	0	0	29
Cbr4	0	0	0	0
Cbs	82	147	41	30
Cbwd1	0	0	0	0
Cbx1	10	22	29	9
Cbx2	64	6	0	3
Cbx3	0	0	0	0
Cbx4	2	3	1	35
Cbx5	0	0	1	2
Cbx6	209	274	62	80
Cbx7	2	0	0	0
Cbx8	0	0	0	0
Cby1	2	0	3	0
Cc2d1a	11	0	12	27
Cc2d1b	0	1	0	0
Cc2d2a	26	22	12	1
Ccar1	927	909	1077	635
Ccar2	0	35	0	1
Ccbe1	0	0	0	0
Ccbl1	47	15	19	10
Ccbl2	0	0	0	0
Ccdc101	0	0	0	0
Ccdc102a	0	0	0	0
Ccdc103	2	5	18	39
Ccdc104	0	0	0	0
Ccdc105	0	0	0	0
Ccdc106	0	0	0	0
Ccdc107	3793	3094	3179	3596
Ccdc108	0	0	0	0
Ccdc109b	0	0	0	0
Ccdc11	0	0	60	120
Ccdc110	0	0	0	0
Ccdc112	0	0	0	0
Ccdc113	0	1	0	0
Ccdc114	0	0	0	0
Ccdc115	0	0	0	0
Ccdc116	0	0	0	9
Ccdc117	0	2	1	5
Ccdc12	0	0	0	0
Ccdc120	516	1166	313	275
Ccdc121	48	97	69	31
Ccdc122	0	0	0	0
Ccdc124	0	0	0	0
Ccdc125	0	0	0	0
Ccdc126	0	0	0	1
Ccdc127	0	0	3	0
Ccdc129	0	0	0	0
Ccdc13	0	0	0	0
Ccdc130	9	0	10	8
Ccdc132	38	28	12	9
Ccdc134	0	0	0	0
Ccdc135	0	0	0	0
Ccdc136	847	792	1325	1675
Ccdc137	382	279	417	615
Ccdc138	0	0	0	0
Ccdc14	0	2	52	92
Ccdc141	27	33	60	50
Ccdc142	0	0	4	7
Ccdc144b	0	0	0	0
Ccdc146	682	688	991	1153
Ccdc147	23	0	0	0
Ccdc148	0	1	0	0
Ccdc149	0	0	0	0
Ccdc15	75	4	6	23
Ccdc150	0	0	1	0
Ccdc151	12	1	3	10
Ccdc152	0	0	0	0
Ccdc153	0	0	2	4
Ccdc154	14	74	27	19
Ccdc155	0	0	0	0
Ccdc157	0	0	4	0
Ccdc158	59	39	31	51
Ccdc159	1376	1543	1034	1334
Ccdc160	0	0	0	0
Ccdc162	7	13	0	2
Ccdc163	0	0	0	0
Ccdc166	0	1	4	3
Ccdc167	3	21	17	16
Ccdc169	0	0	0	0
Ccdc17	0	0	0	0
Ccdc170	16	37	386	300
Ccdc171	0	0	0	0
Ccdc172	0	0	0	0
Ccdc173	58	80	20	22
Ccdc174	0	0	0	0
Ccdc175	17	23	4	35
Ccdc176	0	0	0	0
Ccdc177	0	0	4	24
Ccdc178	0	0	0	0
Ccdc18	41	30	1	14
Ccdc181	0	0	0	0
Ccdc183	0	0	0	0
Ccdc184	0	0	0	0
Ccdc185	1	1	0	0
Ccdc19	0	0	0	0
Ccdc22	0	0	0	0
Ccdc23	0	0	0	0
Ccdc24	0	0	0	0
Ccdc25	0	5	0	0
Ccdc27	0	0	0	0
Ccdc28a	0	0	0	0
Ccdc28b	0	0	0	0
Ccdc3	2	0	0	7
Ccdc30	0	2	0	0
Ccdc32	0	1	2	0
Ccdc33	127	99	63	48
Ccdc34	0	0	0	0
Ccdc34os	0	0	0	0
Ccdc36	325	426	296	393
Ccdc37	0	0	0	0
Ccdc38	3	2	0	3
Ccdc39	1	0	0	0
Ccdc40	164	244	86	68
Ccdc42	0	0	0	0
Ccdc42b	0	1	0	0
Ccdc43	0	0	0	0
Ccdc47	0	0	0	0
Ccdc50	1905	1583	2539	2475
Ccdc51	0	0	0	1
Ccdc53	2	18	0	0
Ccdc54	0	0	0	0
Ccdc55	4	12	11	3
Ccdc57	1	0	0	15
Ccdc58	303	353	311	449
Ccdc59	0	0	0	0
Ccdc6	0	0	0	0
Ccdc60	21	5	38	51
Ccdc61	0	0	0	2
Ccdc62	26	18	53	5
Ccdc63	99	116	103	34
Ccdc64	0	0	0	0
Ccdc64b	0	0	0	0
Ccdc65	103	127	113	146
Ccdc66	221	195	395	179
Ccdc67	0	0	0	0
Ccdc68	0	0	0	0
Ccdc69	9	12	13	22
Ccdc7	0	0	3	5
Ccdc70	0	0	0	0
Ccdc71	501	342	648	642
Ccdc71l	0	0	30	26
Ccdc73	0	0	0	0
Ccdc74a	22	0	5	11
Ccdc77	239	146	420	154
Ccdc78	0	0	0	4
Ccdc79	0	1	0	0
Ccdc8	0	0	0	2
Ccdc80	0	0	0	0
Ccdc81	0	0	0	1
Ccdc82	43	173	175	101
Ccdc83	0	0	0	0
Ccdc84	36	22	35	19
Ccdc85a	0	0	0	0
Ccdc85b	419	469	319	323
Ccdc85c	0	0	0	0
Ccdc86	780	773	500	549
Ccdc87	0	0	0	0
Ccdc88a	91	81	128	94
Ccdc88b	0	0	0	0
Ccdc88c	0	0	1	0
Ccdc89	0	0	0	0
Ccdc9	0	0	0	0
Ccdc90b	0	0	0	0
Ccdc91	0	0	2	2
Ccdc92	61	53	73	30
Ccdc93	20	61	0	0
Ccdc94	0	0	0	0
Ccdc96	0	0	0	0
Ccdc97	1389	1841	773	1191
Ccer1	0	0	0	0
Cchcr1	103	553	205	43
Ccin	19	0	0	2
Cck	0	0	0	0
Cckar	0	0	0	0
Cckbr	0	0	14	0
Ccl1	0	0	0	0
Ccl11	0	0	0	0
Ccl12	0	0	0	0
Ccl17	0	0	0	0
Ccl19	0	0	0	0
Ccl2	0	0	2	0
Ccl20	0	0	0	0
Ccl21a	0	0	0	0
Ccl21b	0	0	0	0
Ccl21c	0	0	0	0
Ccl22	0	0	0	0
Ccl24	0	0	0	0
Ccl25	125	170	132	158
Ccl26	0	0	0	0
Ccl27a	0	0	0	0
Ccl27b	0	0	0	0
Ccl28	0	0	0	0
Ccl3	0	0	0	0
Ccl4	0	0	0	0
Ccl5	0	0	0	0
Ccl6	46	125	44	23
Ccl7	0	0	0	0
Ccl8	0	0	0	0
Ccl9	76	418	112	93
Ccm2	78	120	25	28
Ccm2l	6	0	0	0
Ccna1	0	1	0	0
Ccna2	0	0	0	0
Ccnb1	30	7	11	19
Ccnb1ip1	0	0	0	0
Ccnb2	298	253	420	399
Ccnb3	0	1	0	0
Ccnc	0	0	33	1
Ccnd1	0	0	0	0
Ccnd2	0	0	0	0
Ccnd3	0	0	0	12
Ccndbp1	102	37	25	21
Ccne1	0	0	0	1
Ccne2	5	33	32	50
Ccnf	38	34	41	53
Ccng1	0	0	0	0
Ccng2	0	0	0	0
Ccnh	0	0	0	0
Ccni	0	0	0	0
Ccnj	0	0	0	0
Ccnjl	0	0	0	0
Ccnk	0	0	0	0
Ccnl1	0	0	0	0
Ccnl2	0	0	0	0
Ccno	0	0	0	0
Ccnt1	14	1	4	12
Ccnt2	0	0	0	0
Ccny	951	1474	888	903
Ccnyl1	0	0	0	0
Ccp110	0	1	0	0
Ccpg1	0	0	0	0
Ccpg1os	0	0	0	0
Ccr1	0	0	0	0
Ccr10	0	0	0	0
Ccr1l1	0	0	0	0
Ccr2	0	0	0	0
Ccr3	409	243	219	111
Ccr4	0	0	0	0
Ccr5	0	0	0	0
Ccr6	0	0	0	0
Ccr7	0	0	1	1
Ccr8	0	0	0	0
Ccr9	115	84	18	5
Ccrl2	0	0	2	0
Ccrn4l	340	346	386	152
Ccs	1196	849	1089	1432
Ccsap	0	1	0	0
Ccser1	0	0	0	0
Ccser2	0	0	1	0
Cct2	10	1	3	6
Cct3	28	2	7	2
Cct4	0	0	0	0
Cct5	0	0	0	0
Cct6a	0	0	0	0
Cct6b	38	24	23	4
Cct7	18	0	1	0
Cct8	5202	4499	7787	4678
Cct8l1	0	0	0	0
Ccz1	32	76	21	42
Cd101	0	0	0	0
Cd109	0	0	0	0
Cd14	37	0	41	14
Cd151	0	0	0	0
Cd160	0	0	0	0
Cd163	4	13	2	6
Cd163l1	0	0	0	0
Cd164	25	44	20	17
Cd164l2	14	83	77	33
Cd177	1	0	0	0
Cd180	0	0	0	0
Cd19	0	0	0	0
Cd1d1	0	0	0	0
Cd1d2	0	0	0	0
Cd2	0	0	0	0
Cd200	282	315	4644	3494
Cd200r1	6128	4087	2548	2583
Cd200r2	165	0	20	0
Cd200r3	29	35	0	45
Cd200r4	647	953	160	282
Cd207	7	0	0	0
Cd209a	0	0	0	0
Cd209b	0	0	209	263
Cd209c	0	0	0	0
Cd209d	0	0	0	17
Cd209e	0	0	0	0
Cd209f	0	0	0	0
Cd209g	0	0	0	0
Cd22	86	136	66	127
Cd226	0	0	4	5
Cd244	0	0	0	0
Cd247	0	0	6	6
Cd248	0	0	0	0
Cd24a	0	0	0	0
Cd27	0	0	0	0
Cd274	1610	2033	1467	2008
Cd276	0	0	0	3
Cd28	0	1	0	0
Cd2ap	0	0	0	0
Cd2bp2	0	0	0	0
Cd300a	0	0	0	0
Cd300c	0	0	0	0
Cd300e	0	0	1	0
Cd300lb	0	0	1	5
Cd300ld	0	0	0	9
Cd300lf	0	0	0	0
Cd300lg	440	374	167	277
Cd300lh	1686	1773	1376	1262
Cd302	0	0	0	0
Cd320	0	0	15	15
Cd33	0	0	0	0
Cd34	0	0	0	0
Cd36	0	0	0	0
Cd37	0	0	0	0
Cd38	0	0	0	0
Cd3d	0	0	0	0
Cd3e	0	0	0	1
Cd3eap	0	0	0	0
Cd3g	0	0	0	0
Cd4	8	10	23	31
Cd40	0	0	0	0
Cd40lg	0	0	0	0
Cd44	96	9	48	110
Cd46	0	57	21	42
Cd47	11579	10766	8925	6648
Cd48	0	0	0	0
Cd5	0	0	0	0
Cd52	0	5	1	2
Cd53	0	0	0	0
Cd55	0	0	0	0
Cd59a	0	0	0	0
Cd59b	0	0	0	0
Cd5l	0	0	0	0
Cd6	1570	3244	4853	4370
Cd63	0	0	0	0
Cd68	121	126	38	72
Cd69	0	0	0	0
Cd7	0	0	0	0
Cd70	220	340	293	262
Cd72	0	0	0	0
Cd74	0	0	0	0
Cd79a	0	1	0	1
Cd79b	0	0	0	0
Cd80	7	0	17	3
Cd81	0	0	0	0
Cd82	0	0	0	0
Cd83	0	0	0	0
Cd84	25	19	34	2
Cd86	4	44	255	354
Cd8a	35	18	14	23
Cd8b1	0	1	0	0
Cd9	0	0	0	0
Cd93	0	0	0	0
Cd96	11325	13069	17187	12245
Cd97	0	0	0	0
Cd99l2	1	1	0	2
Cda	0	0	0	0
Cdadc1	0	0	2	0
Cdan1	163	84	29	109
Cdc123	40	86	111	37
Cdc14a	39	65	101	67
Cdc14b	18	9	31	23
Cdc16	2167	1965	2970	2143
Cdc20	0	0	0	0
Cdc20b	5	0	1	1
Cdc23	59	56	87	30
Cdc25a	82	44	38	18
Cdc25b	0	0	0	0
Cdc25c	0	0	11	2
Cdc26	0	0	5	1
Cdc27	196	167	46	76
Cdc34	0	0	0	0
Cdc37	421	434	292	122
Cdc37l1	0	0	0	0
Cdc40	0	0	0	0
Cdc42	0	0	0	0
Cdc42bpa	36	11	37	37
Cdc42bpb	0	1	0	0
Cdc42bpg	0	0	0	0
Cdc42ep1	0	0	0	0
Cdc42ep2	0	0	20	12
Cdc42ep3	870	812	946	525
Cdc42ep4	0	0	0	0
Cdc42ep5	0	0	0	0
Cdc42se1	0	2	2	1
Cdc42se2	117	127	107	29
Cdc45	162	147	749	874
Cdc5l	0	0	0	0
Cdc6	97	90	10	0
Cdc7	0	0	0	0
Cdc73	0	0	0	0
Cdca2	16	0	5	37
Cdca3	0	19	2	1
Cdca4	0	0	28	41
Cdca5	0	82	844	919
Cdca7	0	0	0	0
Cdca7l	0	0	0	0
Cdca8	0	0	0	0
Cdcp1	0	0	4	1
Cdcp2	0	0	0	2
Cdh1	0	0	0	0
Cdh10	0	0	0	0
Cdh11	0	0	0	0
Cdh12	0	0	0	2
Cdh13	18	0	0	0
Cdh15	0	0	4	0
Cdh16	0	0	0	0
Cdh17	0	0	0	0
Cdh18	0	0	0	0
Cdh19	0	0	0	0
Cdh2	0	0	0	0
Cdh20	0	0	0	0
Cdh22	189	131	156	53
Cdh23	0	0	0	0
Cdh24	0	0	0	0
Cdh26	0	0	0	0
Cdh3	0	0	0	0
Cdh4	944	808	1067	633
Cdh5	0	0	0	0
Cdh6	0	0	0	0
Cdh7	0	0	0	0
Cdh8	0	0	0	0
Cdh9	1	0	0	0
Cdhr1	0	0	0	0
Cdhr2	45	21	15	20
Cdhr3	8	2	12	35
Cdhr5	0	0	0	14
Cdip1	864	893	565	359
Cdipt	69	88	46	38
Cdk1	0	0	0	0
Cdk10	0	0	0	0
Cdk11b	1	0	13	1
Cdk12	129	108	151	80
Cdk13	30	0	5	100
Cdk14	0	0	19	15
Cdk15	6	0	2	0
Cdk16	0	0	0	0
Cdk17	0	0	0	0
Cdk18	0	0	0	0
Cdk19	0	0	0	0
Cdk2	0	0	0	0
Cdk20	0	0	0	0
Cdk2ap1	0	0	0	0
Cdk2ap2	11674	11673	10938	17266
Cdk3-ps	0	0	2	4
Cdk4	0	1	0	0
Cdk5	0	0	0	0
Cdk5r1	0	1	0	0
Cdk5r2	0	0	0	0
Cdk5rap1	17	0	47	22
Cdk5rap2	0	0	1	0
Cdk5rap3	552	422	593	594
Cdk6	282	230	63	55
Cdk7	36	11	30	26
Cdk8	0	0	0	0
Cdk9	7	0	0	1
Cdkal1	0	0	5	0
Cdkl1	0	0	0	0
Cdkl2	0	0	0	0
Cdkl3	0	8	11	7
Cdkl4	1	0	4	3
Cdkl5	61	29	69	30
Cdkn1a	593	347	462	215
Cdkn1b	0	0	0	3
Cdkn1c	0	0	0	0
Cdkn2a	0	0	0	0
Cdkn2aip	0	0	3	22
Cdkn2aipnl	0	0	0	0
Cdkn2b	0	0	0	0
Cdkn2c	0	0	0	0
Cdkn2d	0	10	2	24
Cdkn3	0	0	0	0
Cdnf	0	0	0	0
Cdo1	0	0	0	2
Cdon	0	1	0	0
Cdpf1	0	3	4	0
Cdr1	0	0	0	0
Cdr2	0	0	0	0
Cdr2l	1184	1146	1827	2065
Cdrt4	0	0	0	0
Cds1	0	0	0	0
Cds2	0	0	2	3
Cdsn	0	0	0	0
Cdt1	0	0	0	0
Cdv3	0	0	0	1
Cdx1	0	0	0	1
Cdx2	0	0	0	0
Cdx4	106	18	45	44
Cdyl	0	0	0	0
Cdyl2	0	0	0	0
Ceacam1	0	0	1	0
Ceacam10	2	0	0	0
Ceacam11	0	0	0	0
Ceacam12	0	0	0	0
Ceacam13	0	0	0	0
Ceacam14	0	0	0	0
Ceacam15	0	0	0	0
Ceacam16	0	0	3	6
Ceacam18	0	0	0	0
Ceacam19	0	0	0	7
Ceacam2	0	0	0	0
Ceacam20	0	0	0	0
Ceacam3	0	0	14	0
Ceacam5	0	1	0	0
Ceacam9	0	0	0	0
Ceacam-ps1	0	0	0	0
Cebpa	0	0	0	0
Cebpb	0	0	0	0
Cebpd	69	62	9	39
Cebpe	0	0	0	0
Cebpg	20	27	3	2
Cebpz	0	0	0	0
Cebpzos	0	0	0	0
Cecr2	677	607	973	889
Cecr5	0	0	0	1
Cecr6	0	0	0	0
Cel	0	0	0	0
Cela1	0	0	0	0
Cela2a	0	0	0	0
Cela3b	4	0	4	1
Celf1	600	785	117	164
Celf2	836	612	567	384
Celf3	0	0	1	0
Celf4	0	20	0	6
Celf5	206	391	253	161
Celf6	8	3	2	2
Celrr	0	0	0	0
Celsr1	50	126	28	21
Celsr2	36	34	32	18
Celsr3	5316	5095	6846	7866
Cemip	0	1	1	0
Cend1	0	0	0	0
Cenpa	0	0	0	0
Cenpb	0	0	0	0
Cenpc1	0	0	0	0
Cenpe	515	656	1129	1433
Cenpf	0	0	0	1
Cenph	21	17	17	38
Cenpi	0	2	0	0
Cenpj	0	0	0	0
Cenpk	0	0	0	0
Cenpl	0	0	0	0
Cenpm	0	0	0	1
Cenpn	0	0	0	0
Cenpo	754	938	549	423
Cenpp	0	0	0	0
Cenpq	0	0	0	0
Cenpt	0	0	0	0
Cenpu	0	0	0	0
Cenpv	127	198	65	34
Cenpw	0	0	0	0
Cep104	0	0	0	0
Cep112	0	0	0	0
Cep120	0	0	0	0
Cep128	0	1	0	0
Cep131	0	0	0	0
Cep135	876	757	1066	1013
Cep152	623	236	361	394
Cep162	0	0	0	0
Cep164	1741	1517	1458	859
Cep170	0	1	0	0
Cep170b	0	0	0	0
Cep19	843	589	1233	1016
Cep192	3519	2899	3262	2803
Cep250	6325	5996	4613	5195
Cep290	0	0	0	0
Cep350	0	1	0	1
Cep41	0	0	0	0
Cep44	0	0	0	0
Cep55	0	0	0	0
Cep57	0	0	0	0
Cep57l1	0	0	0	1
Cep63	0	0	0	0
Cep68	0	0	0	1
Cep70	0	0	0	0
Cep72	70	0	209	244
Cep76	0	0	0	0
Cep78	44	44	173	139
Cep83	19	3	21	4
Cep83os	0	108	20	15
Cep85	0	1	3	5
Cep85l	20	0	34	39
Cep89	0	0	0	0
Cep95	0	23	0	6
Cep97	1571	1632	930	1065
Cept1	662	394	222	513
Cer1	95	1	48	22
Cercam	398	361	175	185
Cerk	0	0	19	6
Cerkl	0	0	0	0
Cers1	0	0	0	0
Cers2	0	0	0	1
Cers3	0	0	0	0
Cers4	1681	1644	1889	1990
Cers5	0	0	0	0
Cers6	0	0	0	6
Ces1a	0	0	0	0
Ces1b	0	0	0	0
Ces1c	0	0	0	0
Ces1d	0	0	0	0
Ces1e	0	0	0	0
Ces1f	0	0	0	0
Ces1g	0	0	0	0
Ces2a	0	0	0	0
Ces2b	0	0	0	0
Ces2c	0	0	0	0
Ces2d-ps	0	0	0	0
Ces2e	0	0	0	0
Ces2f	0	1	0	0
Ces2g	0	0	0	0
Ces2h	0	0	0	0
Ces3a	0	0	0	0
Ces3b	23	22	12	12
Ces4a	0	0	1	0
Ces5a	5	33	32	23
Cetn1	0	0	0	0
Cetn2	0	0	0	0
Cetn3	40	46	28	10
Cetn4	74	11	2	25
Cfb	0	0	1	0
Cfc1	1	0	0	0
Cfd	0	0	0	0
Cfdp1	0	0	0	0
Cfh	0	7	3	2
Cfhr1	0	0	0	0
Cfhr2	0	0	7	5
Cfi	0	0	0	0
Cfl1	32827	35105	51809	67643
Cfl2	0	0	0	0
Cflar	14	7	2	5
Cfp	0	0	0	0
Cftr	0	0	0	0
Cga	7	0	0	0
Cggbp1	6882	6184	5577	2830
Cgn	194	128	186	71
Cgnl1	0	0	34	27
Cgref1	0	0	0	0
Cgrrf1	0	0	0	0
Ch25h	0	0	0	0
Chac1	0	0	0	0
Chac2	3	38	0	1
Chad	0	0	3	0
Chadl	279	314	462	685
Chaf1a	25	0	1	0
Chaf1b	129	120	271	353
Champ1	1072	546	647	376
Chat	93	131	76	71
Chchd1	0	0	0	0
Chchd10	0	0	0	0
Chchd2	0	0	0	0
Chchd3	2	0	5	0
Chchd4	1	0	8	10
Chchd5	0	0	12	47
Chchd6	0	0	0	0
Chchd7	0	0	0	0
Chd1	0	1	1	0
Chd1l	56	138	65	23
Chd2	7	0	0	8
Chd3	0	1	0	1
Chd3os	0	0	0	0
Chd4	66	188	168	199
Chd5	0	1	0	0
Chd6	0	0	0	0
Chd7	49	84	3	12
Chd8	0	0	0	0
Chd9	3	25	5	8
Chdh	1	2	3	2
Chek1	0	0	0	0
Chek2	12	17	12	5
Cherp	91	72	49	38
Chfr	0	0	0	1
Chga	0	0	0	0
Chgb	0	0	0	0
Chia1	0	0	0	0
Chic1	1377	911	1832	1832
Chic2	0	0	0	0
Chid1	0	0	0	0
Chil1	0	0	0	0
Chil3	0	0	0	0
Chil4	0	1	0	0
Chil6	0	0	0	0
Chit1	0	0	0	0
Chka	138	528	278	289
Chkb	0	0	0	0
ChkbCpt1b	0	0	0	0
Chl1	0	0	0	0
Chm	0	0	0	0
Chml	110	95	257	112
Chmp1a	1	2	0	1
Chmp1b	0	0	0	0
Chmp2a	0	0	0	0
Chmp2b	2151	2093	1425	1786
Chmp3	92	99	71	39
Chmp4b	152	182	146	214
Chmp4c	0	0	0	0
Chmp5	162	362	175	130
Chmp6	0	0	0	0
Chmp7	0	0	0	0
Chn1	0	11	31	29
Chn1os3	0	0	0	0
Chn2	0	3	0	7
Chodl	0	0	0	0
Chordc1	0	0	0	0
Chp1	9	7	5	10
Chp2	0	0	0	0
Chpf	98	139	62	27
Chpf2	0	0	0	0
Chpt1	0	0	0	0
Chrac1	7	13	0	0
Chrd	0	0	0	0
Chrdl1	0	0	0	0
Chrdl2	40	32	60	110
Chrm1	0	0	0	0
Chrm2	0	0	0	0
Chrm3	0	0	14	0
Chrm4	0	0	0	0
Chrm5	11	30	0	0
Chrna1	0	0	0	0
Chrna10	0	0	0	0
Chrna2	363	275	245	207
Chrna3	212	189	319	205
Chrna4	152	288	227	72
Chrna5	0	5	10	5
Chrna6	0	0	0	0
